id,timestamp,message,attributes,tags
d37dac0b-bd0c-4a88-9e63-527b32e27119,2026-06-04 05:40:12.078862000,  Applying django_celery_beat.0003_auto_20161209_0049... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
24c65180-6226-4f02-a536-d66336c95f12,2026-06-04 05:40:12.083995000,  Applying django_celery_beat.0004_auto_20170221_0000... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
b153b777-36b2-4cf5-b71b-eb082166efbe,2026-06-04 05:40:12.127074000,  Applying django_celery_beat.0005_add_solarschedule_events_choices... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
4f0f5ef7-d3d5-452b-8c65-2b0a3cd5ef0e,2026-06-04 05:40:12.230476000,  Applying django_celery_beat.0006_auto_20180322_0932... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
eea0685b-6d48-472e-b379-f22ed633a18a,2026-06-04 05:40:12.250372000,  Applying django_celery_beat.0007_auto_20180521_0826... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
0f3b3883-feac-4265-96de-45bb558be6bc,2026-06-04 05:40:12.355933000,  Applying django_celery_beat.0008_auto_20180914_1922... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
ad296349-8a62-4e56-8498-ca81b719f1ce,2026-06-04 05:40:12.450659000,  Applying django_celery_beat.0006_auto_20180210_1226... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
279331f0-17e0-4d3a-a3e1-aff9a65c3669,2026-06-04 05:40:12.530281000,  Applying django_celery_beat.0006_periodictask_priority... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
b9e34775-85b8-4d2b-a819-d31a5a6d63a0,2026-06-04 05:40:12.541790000,  Applying django_celery_beat.0009_periodictask_headers... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
899d6052-dab3-44e2-87d7-c7cb9c25f515,2026-06-04 05:40:13.331412000,  Applying django_celery_beat.0010_auto_20190429_0326... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
